site_year,model_mean,loc_CLD,raw_mean,raw_CLD
CU_2023,2547.7,ab,2547.7,ab
CU_2024,2424.9,ab,2424.9,ab
CU_2025,248,c,232.3,c
FH_2023,2544.7,ab,2544.7,ab
FH_2024,1573.2,abc,1573.2,abc
FH_2025,191.2,c,191.2,c
ME_2023,2219.8,ab,2219.8,ab
ME_2024,2491.6,ab,2491.6,ab
ME_2025,78.1,c,78.1,c
VT_2023,2982.9,a,2982.9,a
VT_2024,2472.6,ab,2472.6,ab
VT_2025,827.1,bc,827.1,bc
WI_2023,954.9,bc,954.9,bc
WI_2024,1954.5,abc,1954.5,abc
WI_2025,3174.5,a,3186.2,a
