weeds,model_mean,SE,ci_low,ci_high,weeds_CLD,raw_mean
Ambient weeds,2151,176.9,1804.2,2497.8,a,2157
Surrogate weeds,1407.1,176.9,1060.3,1753.9,b,1401.2
