site_year,model_mean,loc_CLD,raw_mean,raw_CLD
CU_2023,344.3,c,374.9,c
CU_2024,360.3,c,382.9,c
CU_2025,1234.5,b,1333.5,b
FH_2023,195.1,d,218.4,d
FH_2024,1006.4,b,1170,b
FH_2025,2443,a,2548.6,a
