weeds,model_mean,SE,ci_low,ci_high,weeds_CLD,raw_mean,raw_CLD
Ambient weeds,607.9,42.3,530.3,696.8,a,917.6,a
Surrogate weeds,688.9,44.2,607.6,781.2,a,1087.4,a
