weeds,model_mean,SE,ci_low,ci_high,weeds_CLD,raw_mean
Ambient weeds,1767.6,61.3,1647.5,1887.7,a,1781.7
Surrogate weeds,1405.7,61.1,1285.9,1525.6,b,1405.7
