site_year,model_mean,loc_CLD,raw_mean,raw_CLD
CU_2023,2547.7,a,2547.7,a
CU_2024,2424.9,a,2424.9,a
CU_2025,238.3,c,232.3,c
FH_2023,2544.8,a,2544.7,a
FH_2024,1573,b,1573.2,b
FH_2025,191.2,c,191.2,c
