site_year,model_mean,SE,ci_low,ci_high,sy_CLD,raw_mean,raw_CLD
CU_2023,313.7,119.2,149,660.6,b,387.8,b
CU_2024,86.8,36.8,37.9,199.1,c,115.1,c
FH_2023,163.1,63.6,76,350.2,bc,163.9,bc
FH_2024,1758.5,625.7,875.5,3532,a,2388.9,a
