site_year,model_mean,SE,ci_low,ci_high,loc_CLD,raw_mean
CU_2023,242.8,28.6,192.7,305.9,c,266.7
CU_2024,45.2,9.8,29.6,69,d,49.5
CU_2025,983.6,58.6,875.2,1105.4,b,1029.1
FH_2023,48.8,11.8,30.5,78.3,d,52.7
FH_2024,279.6,60.5,183,427.2,c,303.2
FH_2025,1619.4,144,1360.4,1927.7,a,1633.8
