site_year,model_mean,loc_CLD,raw_mean,raw_CLD
CU_2023,607.7,d,641.5,d
CU_2024,401.8,e,432.4,e
CU_2025,2277.9,b,2362.6,b
FH_2023,245.5,f,269.5,f
FH_2024,1352.9,c,1473.2,c
FH_2025,4168.5,a,4182.4,a
