weeds,model_mean,SE,ci_low,ci_high,weeds_CLD,raw_mean,raw_CLD
Ambient weeds,841.7,52.2,745.4,950.5,b,1377.1,b
Surrogate weeds,1088.9,60.5,976.6,1214.2,a,1733.1,a
