site_year,n,raw_mean,raw_se
CU_2023,32,641.5,79.4
CU_2024,32,432.4,74.5
CU_2025,31,2362.6,155.3
FH_2023,32,269.5,54.2
FH_2024,32,1473.2,182.1
FH_2025,32,4182.4,175.6
