weeds,model_mean,SE,ci_low,ci_high,weeds_CLD,raw_mean
Ambient weeds,379.4,27.9,328.5,438.1,b,776.2
Surrogate weeds,1335.9,97.8,1157.2,1542.1,a,1462.6
