site_year,n,raw_mean,raw_se
CU_2023,32,641.5,79.4
CU_2024,32,432.4,74.5
CU_2025,31,2362.6,155.3
FH_2023,32,269.5,54.2
FH_2024,32,1473.2,182.1
FH_2025,32,4182.4,175.6
ME_2023,32,1072.2,153.5
ME_2024,32,959.4,149.7
ME_2025,32,629.2,70.6
VT_2023,32,400.9,89
VT_2024,32,669.2,126
VT_2025,32,1685.8,194
WI_2023,32,724.8,165.3
WI_2024,32,683.8,147.7
WI_2025,32,653.6,152.5
