site_year,model_mean,loc_CLD,raw_mean,raw_CLD
CU_2023,596.8,de,641.5,de
CU_2024,324.7,fg,432.4,fg
CU_2025,2563.7,b,2362.6,b
FH_2023,212.6,g,269.5,g
FH_2024,1375.7,c,1473.2,c
FH_2025,5233.8,a,4182.4,a
ME_2023,1321.2,c,1072.2,c
ME_2024,666.9,d,959.4,d
ME_2025,678.6,d,629.2,d
VT_2023,325.3,fg,400.9,fg
VT_2024,450.2,def,669.2,def
VT_2025,1601.9,bc,1685.8,bc
WI_2023,383.5,ef,724.8,ef
WI_2024,405.5,def,683.8,def
WI_2025,368.6,ef,653.6,ef
