site_year,model_mean,SE,ci_low,ci_high,sy_CLD,raw_mean,raw_CLD
CU_2023,337.1,103.9,184.3,616.6,d,387.8,d
CU_2024,101.3,36.1,50.4,203.6,ef,115.1,ef
FH_2023,164.8,53.6,87.2,311.6,de,163.9,de
FH_2024,1967.5,535.1,1154.6,3352.8,ab,2388.9,ab
ME_2024,1141.1,313.5,666,1955,bc,1209.6,bc
VT_2023,3321,848.1,2013.2,5478.3,a,3662.7,a
VT_2024,788.1,224.5,451,1377.4,c,834,c
WI_2024,50.7,19,24.3,105.8,f,53.7,f
