site_year,model_mean,raw_mean
CU_2023,218.4,266.7
CU_2024,40.8,49.5
CU_2025,951.3,1029.1
FH_2023,43.2,52.7
FH_2024,254.9,303.2
FH_2025,1675.1,1633.8
ME_2025,202.1,236.1
VT_2023,73.7,92.6
VT_2024,111.7,153.4
VT_2025,433.1,496.2
WI_2023,144.1,209.8
WI_2024,231.4,320.9
WI_2025,229.3,323.8
